lat,lon,mag
49.6344,-92.3155,2.0
36.5364,-97.1378,2.5
35.9669,-96.795,2.7
36.5151,-98.4691,2.5
36.0815,-89.7737,1.9
36.7873,-98.4452,3.2
36.4257,-97.1776,2.7
66.014,-51.989,1.0
36.8227,-97.866,2.4
32.8379,-96.9038,1.8
36.7856,-98.2939,2.7
64.891,-51.879,1.2
35.7612,-97.3706,3.0
36.5039,-98.7277,2.5
43.7726,-105.2594,3.3
46.065,-75.6236,3.2
36.447,-97.1419,2.6
35.543,-96.764,2.4
65.454,-37.958,1.8
35.6884,-97.4146,3.4
36.801,-98.3362,3.4
48.2227,-78.5378,2.3
36.9168,-97.6613,2.5
36.5256,-98.9811,2.9
36.6192,-97.6473,2.8
43.2135,-71.6019,1.2
64.397,-52.034,2.0
35.9333,-34.5775,3.6
35.9631,-96.8092,2.2
37.0541,-97.5193,3.8
35.9676,-96.8108,2.3
36.2649,-97.348,2.5
36.5879,-97.6761,2.7
35.97,-96.8253,2.7
45.1722,-80.0829,2.3
36.0372,-97.139,2.3
36.8454,-97.7625,2.5
36.0475,-97.1321,2.9
36.1891,-97.4358,2.5
36.0841,-97.5688,3.2
36.74,-98.651,2.6
44.0538,-105.2836,3.1
43.6307,-105.2845,3.8
44.0652,-105.326,3.3
43.824,-64.79,2.3
36.8052,-98.6118,2.5
36.7357,-97.5895,2.5
36.6159,-97.8685,2.7
67.726,-67.513,2.7
36.2509,-97.2838,2.8
36.0858,-97.5785,2.6
36.315,-98.1086,2.8
51.0806,-63.3338,2.2
46.2053,-66.613,3.8
36.7197,-97.5935,2.8
45.9411,-74.1166,2.1
43.7811,-105.3185,3.2
36.2192,-97.4359,2.5
43.953,-71.1393,2.0
36.8319,-97.6082,2.5
36.2799,-97.2656,3.0
36.7488,-97.5456,2.2
35.9539,-97.4099,2.7
48.6586,-70.9976,2.1
36.5873,-97.6931,2.7
36.8261,-97.6929,2.8
43.6457,-105.3111,3.0
47.829,-69.8008,2.0
52.7737,-67.456,3.2
43.8795,-72.5963,1.5
49.1766,-68.3941,2.0
36.4437,-97.698,2.6
36.86,-98.0925,2.4
35.7173,-97.4572,2.2
35.7224,-97.4672,2.3
36.9194,-97.6723,2.6
36.8725,-98.1174,3.2
70.003,-49.231,1.9
